LexFound,IsHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်ပါတီ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးဝဲစား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူပုန်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူပုန်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ထောင်ထွက်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးဝဲစား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,,https://www.facebook.com/profile.php?id=100007276024788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပိန်း,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကြ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်အာဏာရှင်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကုလားတွေ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူပုန်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ထောင်ထွက်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ရွာသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
