IsPost,LexFound,postId,cId,nId,MsgUniSeg,NewHSWordInSentence,IsCOVID19,IsHS,IsHSL,IsDangerous,Remarks,PostURL,CommentURL,CovFound,date,time,ProfileUrl
TRUE,,20200709_0001,0,0,အက ယျ ဒ မီ ကြျော ဟိ နျး ၏ အနုပညာ အ မှ တျ တရ မြား အက ယျ ဒ မီ ငါး ဆု ရှ ငျ သ ရု ပျ ဆော ငျ ဒါ ရို ကျ တာ မ ငျး သား ကွီး ဦး ကြျော ဟိ နျး ( ဦး ကိတ် တိ သာ ရ ) သ ညျ ယနေ့ ( ၂၀၂၀ ပွညျ့ နှ ဈ ဇူ လို ငျ ၁၁ ရ ကျ ) နံ န ကျ ပို ငျး က သွ စတေး လ နြို ငျ ငံ တှ ငျ ရ ဟ နျး ဝ တျ ဖွငျ့ ကှ ယျ လှ နျ ( ပြံ လှ နျ တျော မူ ) သှား ကွော ငျး သိရှိ ရ ပါ သ ညျ ။ ဦး ကြျော ဟိ နျး ၏ အနုပညာ အ မှ တျ တရ အ ခြို့ အား ၂၀၁၈ ခု နှ ဈ က ElevenBroadcasting မှ စု စ ညျး တ ငျ ဆ ကျ ထား သညျ့ ရု ပျ သံ ကို ပွ နျ လ ညျ ဖျော ပွ အ ပျ ပါ သ ညျ ။ (Zawgyi) အကယ်ဒမီ ကျော် ဟိန်း ၏ အနုပညာ အမှတ်တရ များ အကယ်ဒမီ ငါး ဆု ရှင် သရုပ်ဆောင် ဒါရိုက်တာ မင်းသားကြီး ဦး ကျော် ဟိန်း ( ဦး ကိတ္တိ သာ ရ ) သည် ယနေ့ ( ၂၀၂၀ ပြည့်နှစ် ဇူလိုင် ၁၁ ရက် ) နံနက် ပိုင်း က သြ စတေး လျ နိုင်ငံ တွင် ရဟန်းဝတ် ဖြင့် ကွယ်လွန် ( ပျံလွန် တော် မူ ) သွား ကြောင်း သိရှိ ရ ပါသည် ။ ဦး ကျော် ဟိန်း ၏ အနုပညာ အမှတ်တရ အချို့ အား ၂၀၁၈ ခုနှစ် က ElevenBroadcasting မှ စုစည်း တင်ဆက် ထား သည့် ရုပ် သံ ကို ပြန်လည် ဖော်ပြ အပ် ပါသည် ။,,,,,,,https://www.facebook.com/elevenbroadcasting/posts/2759302477659552,,,2020-07-11,11:58:07,facebook.com/1627797554143389
FALSE,ငလူး,20200709_0001,156,7,Jarson Cho အဲငလူးကအသက်ရှည်မှာလူတွေကိုနားဒုက္ခပေးဖို😁😁😁,,,,,,,https://www.facebook.com/elevenbroadcasting/posts/2759302477659552,https://www.facebook.com/2759302477659552?reply_comment_id=2759475207642279,,2020-07-11,10:26:22,https://www.facebook.com/profile.php?id=100012811835306
TRUE,,20200709_0004,0,0,ရန်ကင်း မြို့နယ် တွင် Mask တပ်ဆင် ခြင်း မရှိ သူများ ကို ဥပဒေ နှင့် အညီ အရေးယူ ဆောင်ရွက် ရန် ကုန် ဇူလိုင် ၁၀ လင်း လင်း ထွန်း ( ပြန် / ဆက် ),,,,,,,https://www.facebook.com/MOIWebportalMyanmar/posts/2951478371646676,,,2020-07-10,16:33:39,facebook.com/318455204949019
FALSE,နီပေါ,20200709_0004,35,0,နီပေါဘျင်မကြီး ပါတီရုံးဖွင့်ပွဲတုန်းကရော mask မတတ်တာ ဘာလို့လဲ?,,,,,,,https://www.facebook.com/MOIWebportalMyanmar/posts/2951478371646676,https://www.facebook.com/2951478371646676?comment_id=2951968888264291,,2020-07-10,14:33:01,https://www.facebook.com/profile.php?id=100001410354729
TRUE,,20200709_0007,0,0,""" အာဂ အောင် ဆန်း ""( ၁၁ - ၇ - ၂၀၂၀ ) ၊ ( ၁၂ - ၇ - ၂၀၂၀ ) ၊ ( ၁၅ - ၇ - ၂၀၂၀ ) နှင့် ( ၁၆ - ၇ - ၂၀၂၀ ) ရက် နေ့ ၊ ညနေ ( ၆ : ၃၀ ) နာရီ တွင် မြန် မာ့ ရုပ်မြင်သံကြား မှ ထုတ် လွှင့် ပြသ ပါ မည် ‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗‗ အောက် ပါ Link များ တွင် လည်း ဝင် ရောက် ကြည့်ရှု နိုင် ပါသည် -https://www.mrtv.gov.mm/mm/news-80723https://youtu.be/OaDSg6hyCEw:=:https://www.youtube.com/watch?v=OaDSg6hyCEw&feature=youtu.be",,,,,,,https://www.facebook.com/mrtvwebmediaportal/posts/3244145025631301,,,2020-07-10,20:01:44,facebook.com/523763414336156
FALSE,စစ်ခွေး,20200709_0007,4,0,အဲ့ဒိံလောက်ကောင်းတဲ့အဘအောင်ဆန်းကိုတောင်သတ်သေးတာအခုလက်ရှိစစ်သားတွေကိုစစ်ခွေးလို့ပြေားနေကြတာမဆန်းတော့ပါဘူး,,,,,,,https://www.facebook.com/mrtvwebmediaportal/posts/3244145025631301,https://www.facebook.com/3244145025631301?comment_id=3244261162286354,,2020-07-10,14:25:46,https://www.facebook.com/profile.php?id=100018896022737
TRUE,,20200709_0008,0,0,ဇွဲ က ပင် တောင် တွင် ပျောက်ဆုံး နေ သော ဒုတိယ နှစ် အဝေး သင် ကျောင်းသား ၏ ရုပ် အလောင်း အား ရှာဖွေ တွေ့ ရှိ ကရင်ပြည်နယ် ဇူလိုင် ၁၀ စော မျိုး မင်း သိန်း,,,,,,,https://www.facebook.com/MOIWebportalMyanmar/posts/2951752931619220,,,2020-07-10,19:21:43,facebook.com/318455204949019
FALSE,ဖင်ယား,20200709_0008,97,0,ငိုးမသားတွေဖင်ယားနေကြတာ သေပေါ့ တစ်နေ့လာလဲ ဒါပဲတင်နေ လအုပဲ,,,,,,,https://www.facebook.com/MOIWebportalMyanmar/posts/2951752931619220,https://www.facebook.com/2951752931619220?comment_id=2955961501198363,,2020-07-12,3:57:43,https://www.facebook.com/profile.php?id=100026379210740
TRUE,,20200709_0014,0,0,( သ ရု ပျ ဆော ငျ အက ယျ ဒ မီ ကြျော ဟိ နျး ) ဦး ကိတ် တိ သာ ရ . သကျ တျော ( ၇၃ ) နှ ဈ သ ညျ ၁၁ . ၇ . ၂၀၂၀ နေ့နံ န ကျ ပို ငျး တှ ငျ သွ စတေး လြား နို ငျ ငံ က ငျ မျ ဘာ ရာ မွို့ တှ ငျ ပြံ လှ နျ တျော မူ သှား သ ညျ ဟု သိရ သ ညျ Zawgyi ဖြင့် ဖတ် ရန် ( သရုပ်ဆောင် အကယ်ဒမီ ကျော် ဟိန်း ) ဦး ကိတ္တိ သာ ရ . သက် တော် ( ၇၃ ) နှစ် သည် ၁၁ . ၇ . ၂၀၂၀ နေ့နံ နက် ပိုင်း တွင် သြ စတေး လျား နိုင်ငံ ကင်မ် ဘာ ရာ မြို့ တွင် ပျံလွန် တော် မူ သွား သည် ဟု သိရသည်,,,,,,,https://www.facebook.com/elevenbroadcasting/posts/2759314934324973,,,2020-07-11,12:24:38,facebook.com/1627797554143389
FALSE,ဖွတ်,20200709_0014,265,0,ကျော်ဟိန်းနဲ့ ဒွေး မရှိတည်းက မြန်မာ့ရုပ်ရှင်လောကလဲ  ပေါကားတွေဘဲဖြစ် သွားတာ👍ဗိုလ်ချုပ်နဲ့အောင်ဆန်းမရှိကတည်းက မြန်မာနိုင်ငံလဲ ဖွတ်နိုင်ငံ ဖြစ်သွားတာ😁,,,,,,,https://www.facebook.com/elevenbroadcasting/posts/2759314934324973,https://www.facebook.com/2759314934324973?comment_id=2759824277607372,,2020-07-11,19:15:22,https://www.facebook.com/profile.php?id=100043419013350
