LexFound,IsHS
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,1
စစ်ခွေး,0
စစ်ခွေး,1
စစ်ခွေး,1
စစ်ခွေး,0
စစ်ခွေး,0
တောသား,0
တောသား,0
နီပေါ,1
ဗမာစစ်တပ်,1
ဗမာစစ်တပ်,0
ဗမာတွေ,0
ရခီးတွေ,1
ရခီးတွေ,0
သူပုန်,0
သောင်းကျမ်းသူ,1
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အပြုတ်တိုက်,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,1
ကုလားတွေ,0
ကုလားတွေ,1
ကျောင်းနွား,0
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,1
စစ်ခွေး,1
စစ်ခွေး,0
စစ်ခွေး,1
စစ်ခွေး,0
စစ်ခွေး,1
စစ်ခွေး,1
စစ်ခွေး,0
စစ်ခွေး,1
စစ်ခွေး,0
စောင်ကုလား,1
တရုတ်ခွေး,1
တောသား,0
တောသား,0
တောသား,0
တောသား,1
တောသား,0
တောသား,1
တောသား,0
တောသား,1
တောသား,1
တောသား,0
တောသား,0
တောသား,1
တောသား,1
ထမီခြုံ,1
ထမီခြုံ,1
ထမီခြုံ,1
ထမီခြုံ,1
ထမီခြုံ,1
နီပေါ,0
နီပေါ,1
နီပေါ,0
နီပေါ,0
နီပေါ,1
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,1
ဗမာတွေ,0
ဗမာတွေ,1
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,1
ဗမာတွေ,1
ဗမာတွေ,1
ဗမာတွေ,1
ဗမာတွေ,1
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,1
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,1
ဗမာတွေ,0
ဘင်ဂါလီ,1
ဘင်ဂါလီ,1
ဘင်ဂါလီ,1
ဘင်ဂါလီ,1
မြေသြဇာ,0
မြေသြဇာ,1
မွတ်ဒေါင်း,1
ရခီးတွေ,1
ရခီးတွေ,1
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,1
ရခီးတွေ,1
ရခီးတွေ,1
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,1
ရခီးတွေ,1
လူရိုင်း,1
လူရိုင်း,1
သူခိုး,1
သူခိုး,0
သူခိုး,1
သူခိုး,1
သူခိုး,0
သူခိုး,1
သူခိုး,1
သူခိုး,1
သူခိုး,1
သူခိုး,1
သူခိုး,0
သူခိုး,1
သူခိုး,0
သူခိုး,1
သူခိုး,0
သူခိုး,1
သူခိုး,0
သူခိုး,1
သူခိုး,0
သူခိုး,0
သူခိုး,1
သူခိုး,1
သူခိုး,0
သူပုန်,0
သူပုန်,0
သူပုန်,0
သူပုန်,0
သူပုန်,0
သူပုန်,0
သူပုန်,1
သူပုန်,1
သူပုန်,0
သူပုန်,0
သူပုန်,1
သူပုန်,1
သူပုန်,1
သူပုန်,1
သူပုန်မ,1
သူပုန်မ,0
သူပုန်မ,1
သူပုန်မ,1
သူပုန်မ,0
သူပုန်မ,1
သူပုန်မ,0
သောင်းကျမ်းသူ,0
သောင်းကျမ်းသူ,1
သောင်းကျမ်းသူ,0
သောင်းကျမ်းသူ,1
သောင်းကျမ်းသူ,1
သောင်းကျမ်းသူ,1
သောင်းကျမ်းသူ,0
သောင်းကျမ်းသူ,1
သောင်းကျမ်းသူ,0
သောင်းကျမ်းသူ,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,1
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,1
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အကြမ်းဖက်,0
အပြုတ်တိုက်,1
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
အပြုတ်တိုက်,1
အပြုတ်တိုက်,0
အပြုတ်တိုက်,1
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
အပြုတ်တိုက်,1
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
စစ်ခွေး,0
စစ်ခွေး,0
စစ်ခွေး,0
စစ်ခွေး,0
စစ်ခွေး,0
စစ်ခွေး,0
စစ်ခွေး,1
စစ်ခွေး,1
စစ်ခွေး,0
စစ်ခွေး,1
စစ်ခွေး,0
တောသား,0
တောသား,1
တောသား,1
တောသား,0
တောသား,0
တောသား,1
တောသား,1
တောသား,0
တောသား,1
တောသား,1
တောသား,0
တောသား,1
တောသား,0
တောသား,0
နီပေါ,0
နီပေါ,0
နီပေါ,0
နီပေါ,1
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,1
ဖင်ယား,0
ဖင်ယား,0
ဖင်ယား,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,1
ဗမာစစ်တပ်,1
ဗမာစစ်တပ်,1
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,0
ဗမာစစ်တပ်,1
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,1
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာတွေ,1
ဗမာတွေ,0
ဗမာတွေ,0
ဗမာေတွ,1
ဘင်ဂါလီ,0
မြေသြဇာ,1
ရခီးတွေ,0
ရခီးတွေ,1
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,1
ရခီးတွေ,1
ရခီးတွေ,1
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,0
ရခီးတွေ,1
ရခီးတွေ,1
လူရိုင်း,1
သူခိုး,1
သူခိုး,0
သူပုန်,1
သူပုန်,0
သူပုန်,1
သူပုန်,0
သူပုန်,0
သူပုန်,1
သူပုန်,0
သူပုန်,0
သူပုန်,1
သူပုန်,1
သူပုန်,0
သူပုန်,0
သူပုန်,0
သူပုန်မ,0
သောင်းကျမ်းသူ,0
သောင်းကျမ်းသူ,0
သောင်းကျမ်းသူ,0
အကြမ်းဖက်,0
အပြုတ်တိုက်,1
အပြုတ်တိုက်,0
အပြုတ်တိုက်,1
အပြုတ်တိုက်,0
အပြုတ်တိုက်,0
AAသူပုန်,1
AAသူပုန်,1
AAသူပုန်,1
AAသူပုန်,1
AAသူပုန်,0
AAသူပုန်,1
AAသူပုန်,0
AAသူပုန်,1
AAသူပုန်,1
AAသူပုန်,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,0
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,0
ကုလားတွေ,1
ကုလားတွေ,0
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,1
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,0
ကုလားတွေ,1
ကုလားတွေ,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,0
ကြံ့ဖွတ်,1
ကြံ့ဖွတ်,0
သူခိုး,0
သူခိုး,0
ဖွတ်,1
သူခိုး,1
ဖွတ်,0
ဖွတ်,0
မွတ်,0
သူခိုး,0
ကြံ့ဖွတ်,0
ဖွတ်,0
သူခိုး,0
ဖွတ်,0
ဖွတ်,0
ဖွတ်,0
သူခိုး,0
ကြံ့ဖွတ်,0
ဖွတ်,0
ဖွတ်,0
ဖွတ်,0
ရွာသား,0
ဖွတ်,0
ထောင်ထွက်,0
စစ်ခွေး,0
အမျိုးယုတ်,1
ဖွတ်,0
မြို့သား,0
ဖွတ်သူခိုး,1
သူခိုး,0
သူခိုး,0
ခွေးသား,0
ခွေးသား,0
ဘင်္ဂါလီ,0
သူခိုး,0
ဘင်ဂါလီ,1
ခွေးသား,0
ဖွတ်,1
ဖွတ်,1
ဖွတ်,1
ဖွတ်သူခိုး,0
အောက်တန်းကျ,0
သူခိုး,0
သူခိုး,0
အောက်တန်းစား,0
ဖွတ်,1
သူခိုး,0
ဘင်ဂါလီ,1
သူခိုး,0
ဖွတ်,0
သူခိုး,0
သူခိုး,0
သူခိုး,0
သူခိုး,0
သူခိုး,0
သူခိုး,0
သူခိုး,0
ခွေးသား,0
ခွေးသား,0
ခွေးသား,0
ခွေးသား,0
ငလူး,0
သူခိုး,0
အောက်တန်းစား,0
ခွေးသား,0
ဖွတ်,1
ဖွတ်,0
ခွေးသား,0
ဖွတ်,0
အောက်တန်းကြ,0
ဖွတ်,0
