LexFound,IsHS,HS Comment ( Is True),HS Comment( False),No-Hs Comment( True),No HS Comment(False),,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
တောသား,0,0,1,1,0,,,,,
တောသား,0,0,1,1,0,,,,,
နီပေါ,1,1,0,0,1,,,,,
ဗမာစစ်တပ်,1,1,0,0,1,,,,,
ဗမာစစ်တပ်,0,0,1,1,0,,,,,
ဗမာတွေ,0,0,1,1,0,,,,,
ရခီးတွေ,1,1,0,0,1,,,,,
ရခီးတွေ,0,0,1,1,0,,,,,
သူပုန်,0,0,1,1,0,,,,,
သောင်းကျမ်းသူ,1,1,0,0,1,,,,,
အကြမ်းဖက်,0,0,1,1,0,,,,,
အကြမ်းဖက်,0,0,1,1,0,,,,,
အပြုတ်တိုက်,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကုလားတွေ,0,0,1,1,0,,,,,
ကုလားတွေ,1,1,0,0,1,,,,,
ကျောင်းနွား,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,0,0,1,1,0,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
ကြံ့ဖွတ်,1,1,0,0,1,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
စစ်ခွေး,1,1,0,0,1,,,,,
စစ်ခွေး,0,0,1,1,0,,,,,
စောင်ကုလား,1,1,0,0,1,,,,,
တရုတ်ခွေး,1,1,0,0,1,,,,,
တောသား,0,0,1,1,0,,,,,
တောသား,0,0,1,1,0,,,,,
တောသား,0,0,1,1,0,,,,,
တောသား,1,1,0,0,1,,,,,
တောသား,0,0,1,1,0,,,,,
တောသား,1,1,0,0,1,,,,,
တောသား,0,0,1,1,0,,,,,
